ID,h02_laba_1,h02_laba_2,h02_laba_3,h02_slikta_1,h02_slikta_2,h02_slikta_3,h08_tx1,h08_tx2,h08_tx3
994,ceļošana,"iespēja mācīties, pieredzes apmaiņa",darba iespējas, , , ,98, , 
996,piešķir finansējumu labiem biznesa projektiem,Eiropas piešķirtās naudas dabas liegumu uzturēšanai,"kultūras un tūrisma atbalsts, attīstība", , , ,98, , 
997,"iespējas ceļot, mācīties","vienota valūta, sakaru tarifi",Eiropas finansējums Latvijas labklājības celšanai, , , ,mobilos sakarus Eirozonā, , 
1000,iespēja ceļot Eiropā,atbalsts,iespēja dzīvot Eiropā, , , ,skolā bija daudz eiroprojektu,"iespēja ceļot Eiropā, iespēja mācīties Eiropā (Erasmus)", 
1001,dažādi projekti,bezmaksas kursi,iespēja ceļot, , , ,kursi strādājošajiem no NVA, , 
1002,dažādu projektu finansēšana Latvijā,ceļošanas iespējas,vienota valūta, , , ,darba iespējas ārzemēs, , 
1003,darba iespējas ES,ceļošana,Eiropas projektu realizēšana Latvijā, , , ,izceļojusi Eiropu, , 
1004,vienkārši ceļot,vienota valūta, , , , ,98, , 
1005,lielāks tūristu pieplūdums,"izglītības attīstība, apmaiņas programmas","darbs ārzemēs, peļņas iespējas", , , ,laikam nekādas, , 
1008,Eiropas piešķirtie finansējumi Latvijai,vienota valūta,"darba iespējas, bez problēmām braucu strādāt", , , ,darba iespējas vairāk, , 
1011,finansējums,ieguvumu vairāk kā negatīvā,darba vietas, , , ,98, , 
1014,Erasmus,nauda Latvijas attīstībai,atbalsts invalīdu ērtību nodrošināšanai, , , ,mācību apmaiņas programmu,ceļojumi bez vīzas, 
1015,Eiropas līdzekļi Latvijas attīstībai,"mācību programmas jauniešiem, izglītības iespējas pieaugušajiem",darba iespējas Eirozonā, , , ,strādāju ārzemēs, , 
1019,ES likumi labāki, , , , , ,98, , 
1020,ceļošanas iespējas,attīstībai nauda,robežas vaļā, , , ,ceļošana,projekti, 
21,?, , ,neesam paši savā zemē saimnieki, , ,esmu strādājis Skandināvijā, , 
31, , , ,"tāpēc, ka kādreiz nebija tādi nodokļi","mazas algas, lielas cenas, dārgi komunālie pakalpojumi","varēja labi dzīvot, tagad vajag eksistēt",98, , 
36, , , ,cilvēkiem nav iespēju uzlabot savu dzīvi,"esmu strādājis un veselību sabeidzis, bet grupu dabūt nevar, pastrādāt arī nevar, mocības un nabadzība", ,nabadzība, , 
48, , , ,98, , ,98, , 
80, , , ,"slikti tāpēc, ka tagad visu diktē ES, bet Latvijai pašai nav nekādas teikšanas", , ,nezinu, , 
105, , , ,mēs zaudējam savu valsti un savu neatkarību,beidzās lats - mēs zaudējām latu, ,darbs Norvēģijā, , 
110, , , ,visus LV uzņēmumus likvidēja,visi pakļauti Eiropas likumiem,sākās cilvēku izbraukšana no Latvijas,nekādas, , 
131, , , ,liela ietekme uz ekonomiku,grauj lauksaimniecību, ,98, , 
146, , , ,LGBT programma,neveselīgas ēšanas propaganda,neapmierināta ar eiro standartiem izglītībā,izbraukšana ārzemēs, , 
150, , , ,"mums nav nekā, veikalos viss no citām valstīm, nezinu ko pirkt", , ,98, , 
155, , , ,"aizliegumi, naudas sodi",atņemta vārda brīvība,slikta attieksme pret pensionāriem - Krievijas pilsoņiem,nekas, , 
190, , , ,"vajag dzīvot bez ES, bez NATO, bez eiro, un dzīvojuši daudz labāk vieni paši ar savu latu", , ,nekādas, , 
201, , , ,nekā laba neredzu, , ,98, , 
212, , , ,zūd tradicionālās vērtības,pieaug dzīves dārdzība,nav pašnoteikšanās,98, , 
213, , , ,sabojātas attiecības ar Krieviju,pilns ar ārzemniekiem,sagrauta vietējā ražošana,nekādas, , 
230, , , ,daudz imigranti,pilnīga atkarība no ES, ,98, , 
232, , , ,liela atkarība no ES likumiem,nepastāvīga lēmuma pieņemšana,daudz imigrantu,bezrobežu ceļojumi, , 
244, , , ,cita kultūras telpa,zaudējām latu,imigranti,zvani uz ES valstīm par velti, , 
245, , , ,LGBT uzspiešana (cita veida seksuāla orientācija),valūta bez iespējām regulēt,nevienlīdzība ar citām ES valstīm,brīvi ceļot, , 
258, , , ,ES finansēja dažādus kursus un izglītību, , ,neko tādu, , 
297, , , ,"jo tālāk, jo trakāk - viss dārgāk, agrāk tā nebija",nav labi apmaksāta darba,liels pensijas  vecums,98, , 
299, , , ,iznīcina Latvijas eksistenci,"nav vairs nekā sava, tikai no citām valstīm",ES uzspiež savas direktīvas,neko, , 
306, , , ,"viss tur ir atņemts, nav nekā, kas bija", , ,izglītība par ES līdzekļiem, , 
322, , , ,ES izmanto mūsu resursus,nepietiekoši sadala dotācijas un citus naudas līdzekļus, ,esmu ceļojis,izmantoju sakaru tarifus par vienādu cenu, 
325, , , ,"mēs neesam ES vecās dalībvalstis, mūs neņem vērā",esam pēdējie ES gandrīz visos rādītājos pēc gandrīz 20.gadiem ES, ,98, , 
358, , , ,Eiropas Savienība ir Latvijas iznīcinātāja, , ,neko, , 
367, , , ,98, , ,98, , 
374, , , ,augstākas cenas produktiem,agresīva politika par Krieviju,rusofobija,98, , 
375, , , ,98, , ,98, , 
376, , , ,98, , ,98, , 
389, , , ,"par mazām pensijas, varēja piešķirt naudu", , ,neko, , 
397, , , ,par daudz komandē no Briseles,neļauj pašiem domāt un strādāt, ,98, , 
399, , , ,"neko nedara, nepilda savas funkcijas", , ,neko, , 
405, , , ,pilnīgi liek mums justies kā nabagiem, , ,98, , 
406, , , ,"tikai diktē noteikumus, neļauj pašiem būt savā zemē saimniekam", , ,98, , 
410, , , ,"ar ES tiek likvidētas skolas, jo tā nāk pavēle no augšas", , ,skolotājiem organizētos kursos, , 
413, , , ,ES dzen mūs parādos,"ES no mums tikai kaut ko pieprasa, ja ko dod, tad mazāk nekā prasa no mums","ES grib mums noteikt visus standartus, ko drīkst darīt, ko nē, paši vairs neko nelemjam",tūrisma braucieni, , 
435, , , ,paļaujas ASV komandām, , ,98, , 
436, , , ,inflācija,ievesta pārtika, ,darbs Anglijā, , 
478, , , ,"tāpēc, ka Latvija ir lielos parādos","tāpēc, ka Latvijas valdība vairs nevalda, bet valda Eiropa","ir iznīcināta rūpniecība, vidusmēra uzņēmējdarbība - Latvijas uzņēmējdarbība un zemnieksaimniecības","strādāju par auklīti Eiropas Savienības finansētajā kopprojektā, apmācība auklītēm k/c ""Dārdedze""", , 
480, , , ,"tādēļ, ka vairāk viss izbeidz savu darbību (rūpnīcas - to nav)","osta bija spēcīga, tagad tā ir vāja","lieli parādi Latvijai, šobrīd Latvija izskatās pārdota - iztirgota",neko neesmu izmantojusi, , 
497, , , ,98, , ,98, , 
502, , , ,98, , ,98, , 
511, , , ,98, , ,98, , 
526, , , ,vai tur ir liela jēga,"ceļu ziņā, cenas lielas kā Eiropā, algas mazas","likumi, kas iet Eiropai līdzi",nekādas, , 
582, , , ,esmu eiro skeptiķis,labuma nav nekāda, ,Covid-19 potes, , 
586, , , ,"Latvijas nauda lats - likvidēts, līdz ar to arī tautas identitāte",samazinājās tautsaimniecības attīstība,Latvijai palielinās valsts parāds,98, , 
587, , , ,"lopkopība - lauksaimniecība, fermas likvidētas",cukurfabrikas likvidēšana,Liepājas Metalurgs tika iznīcināts,braucu ar mašīnu pa atremontētiem ceļiem,slimnīcā nopirkta iekārta, 
588, , , ,bezdarbs,korupcija zeļ, ,"strādāju iestādē, kurā veikta renovācija",braucu pa veloceliņu, 
590, , , ,jāievēro Eiropas regulas,rūpnīcas slēgtas,lauksaimniecība likvidēta,98, , 
591, , , ,lauksaimniecība likvidēta (kuģi nodoti metāllūžņus),zivju zvejošana aizliegta (ES kvotas),aizliedza Latvijai nomainīt kuģus uz citiem,dabas takas mežā - izveidotas pa ES naudām,Liepājas slimnīcā remonts veikts, 
604, , , ,"daudz līdzekļus atdod prom, par savējiem nerūpējas","daudz bezpajumtnieki, zemas algas, cilvēkiem grūti","augstas cenas, zemas pensijas, nav taisnības",nevienu, , 
605, , , ,"Latvija visu laiku no ES aizņemas naudu un līdz ar to palielina valstī nodokļus, bet atdot neko nevar",viszemākās algas visā ES un vislielākie nodokļi, ,īsti neko nav izmantojis, , 
621, , , ,98, , ,meita piedalījās Erasmus programmā, , 
625, , , ,lielas cenas,mazas pensijas, ,neko, , 
626, , , ,cenu pieaugums,zema demogrāfija, ,braucu strādāt uz Eiropas valstīm, , 
636, , , ,nav patstāvības, , ,zvanīšana uz ārzemēm, , 
643, , , ,"vairāk labums iet viņiem, nevis mums", , ,"māju tie ir renovējuši ar ES atbalstu laikam, vismaz tā bērni teica, bet es īsti nezinu, kā tieši man palīdz, neceļoju, man vienalga, vai man pase der ES", , 
651, , , ,viss ir palicis dārgs,inflācija, ,98, , 
663, , , ,Latvija nav noteicēja par savu zemi,uz Latviju gulstas arvien vairāk visādu regulu,Latvijas lielākā daļa pieder ārzemju investoriem,daudzus gadus atpakaļ saņēmu pārtikas atbalsta pakas kā daudzbērnu ģimene, , 
667, , , ,pārāk daudz visādu regulu,neesam lēmēji savā zemē, ,nezinu teikt, , 
685, , , ,pašiem par sevi jādomā,viss stāv uz vietas Latvijā,"ekonomika neattīstās, nauda nonāk partijām, nevis tautai",98, , 
692, , , ,daudz diktāta ES,"lauksaimniecība nevienādi subsīdijas, no citām valstīm atšķirības","Latvija pērk gāzi, elektrību dārgāk, tāpēc, ka sankcijas","es biju Īrijā, nevajag vīzu", , 
737, , , ,atkarīga no ES,diktē visu, ,sociālā palīdzība, , 
748, , , ,"nav savas valūtas, lats bija labs",mazāka suverenitāte, ,98, , 
756, , , ,paši neko nelemjam,seksuālo minoritāšu propaganda, ,98, , 
781, , , ,visi skrien Eiropai līdzi, , ,kursi par Eiropas naudu, , 
857, , , ,visas aizsardzības iespējas,vienota valūta,brīvas ceļošanas iespējas,"bija pieteikusies ""Erasmus"", bet saslima un netika","ceļošana, viegli tikt uz Lietuvu un citām valstīm", 
862, , , ,"mums viss likvidēts, nav vairs ražošanas","daudz ko aizliedz, nerāda pārraides krievu valodā","Latvija vairs neko pati nevar izlemt, visu iznīcina, visu laiku tikai klausa, ko saka ES",nav nekas, , 
883, , , ,Latvijas kā valsts iznīcināšana, , ,piekļuvi veselībai, , 
888, , , ,tagad notiek visatļautība,nekādas kultūras vairs nav - sabrūk ģimenes jēdziens,viss tiek likvidēts lauku rajonos,neko neesmu izmantojis, , 
904, , , ,"būs jāatdod Eiropas nauda, kura saņemta aizdevumos nākamajām paaudzēm", , ,98, , 
918, , , ,neko man nav devusi, , ,98, , 
941, , , ,cenas augstas,visa nauda iet uz bruņošanu,nekas neiet cilvēkiem,nav izmantojis, , 
949, , , ,"bērniem tiek mācītas neķītrības, traumēta psihe", , ,nekādas, , 
951, , , ,valsts zaudē savu identitāti,tiek uzspiesta Amerikas kultūra,minoritāšu uzspiešana sabiedrībai,darba iespējas Eirozonā, , 
960, , , ,"nav lata, eiro nepatīk",ieceļo daudz migrantu,"uzspiež ""zilo"" politiku",nekādas, , 
971, , , ,pilns ar bēgļiem,"cenas augstas, maksa par elektrību arī", ,98, , 
976, , , ,jaunieši aizbrauc uz ārzemēm, , ,98, , 
977, , , ,jaunieši pamet Latviju,laukos nav darbavietu,nauda ir mazvērtīga,bērnu spēļu laukums, , 
993, , , ,nekā laba nav, , ,neko, , 
1006, , , ,lauksaimnieku bankrotēšana,visas rūpniecības iznīcināšana,trešo valstu produktu iepludināšana,98, , 
1007, , , ,ražošanas iznīcināšana,"sintētisku, modificētu produktu iepludināšana","ģimenes, kā institūcijas graušana","nekādas, nav priekš manis iespēju", , 
1013, , , ,Latvija ir iztirgota,vietējā rūpniecība likvidēta,"genderisms zeļ, jaunieši pagrimst","ceru, ka nekādas", , 
1016, , , ,"neesam saimnieki savā valstī, visus lēmumus uzspiež Eiropa un bērni tiek propagandēti", , ,ceļošanu, , 
8, , , , , , ,98, , 
9, , , , , , ,strādājis Lielbritānijā, , 
15, , , , , , ,pagaidām neko neesmu izmantojusi, , 
16, , , , , , ,neko, , 
17, , , , , , ,"neko nezinu, neizmantoju", , 
20, , , , , , ,nekādas, , 
23, , , , , , ,pagaidām nekādus, , 
24, , , , , , ,brīvi ceļojis pa Eiropu, , 
28, , , , , , ,esmu izmantojis būvniecības sfērā finansiālu atbalstu, , 
30, , , , , , ,ceļoju, , 
32, , , , , , ,"nekādas, esmu visu laiku cīnījusies par dzīvošanu, kaut gan mani vecāki, to pašu dabūja no valsts", , 
33, , , , , , ,"nekādas, nav nekā", , 
39, , , , , , ,"kursus, apmācības", , 
40, , , , , , ,98, , 
43, , , , , , ,"iespēju nav, izmanto tikai mūs, vienkāršos darba cilvēkus, maksājam nodokļus, rēķinus un atbalstam ar ziedojumiem smagi slimus un nelaimē nokļuvušos, kaut gan to vajadzētu darīt valstij", , 
50, , , , , , ,98, , 
51, , , , , , ,98, , 
52, , , , , , ,98, , 
56, , , , , , ,98, , 
58, , , , , , ,98, , 
61, , , , , , ,pabalstus kovida laikā, , 
62, , , , , , ,98, , 
65, , , , , , ,pabalsti bērniem,tūrisma attīstība - ceļošana, 
66, , , , , , ,ceļoju brīvi, , 
68, , , , , , ,98, , 
69, , , , , , ,bija piešķirti pabalsti, , 
70, , , , , , ,98, , 
78, , , , , , ,eiro valūtu,ceļošanu ES, 
86, , , , , , ,98, , 
87, , , , , , ,nekādus, , 
88, , , , , , ,man nekas īpašs, , 
91, , , , , , ,brīvi ceļoju,Erasmus programmu izmantoja, 
92, , , , , , ,nauda mācībām bija saņemta no ES fondiem, , 
93, , , , , , ,braukšana Eiropas zonā,kredīts saules bateriju iegādei, 
95, , , , , , ,ceļojums, , 
96, , , , , , ,devos uz ārzemēm, , 
98, , , , , , ,nevajag vīzas, , 
102, , , , , , ,98, , 
104, , , , , , ,ceļojumi, , 
108, , , , , , ,brīva bezvīzas braukšana ES robežās, , 
111, , , , , , ,atbalsts lauksaimniekiem (platību maksājumi),tehnikumā stipendija, 
112, , , , , , ,Eiropas subsīdijas lauksaimniecībā, , 
117, , , , , , ,98, , 
118, , , , , , ,98, , 
119, , , , , , ,98, , 
120, , , , , , ,98, , 
121, , , , , , ,98, , 
123, , , , , , ,neko, , 
127, , , , , , ,kopīga nauda,ceļošana,nav muita uz robežām
128, , , , , , ,98, , 
130, , , , , , ,darbs ārzemēs,nauda, 
133, , , , , , ,98, , 
138, , , , , , ,veselības veicināšanas pasākumi,Erasmu programma - angļu valodas apguve, 
142, , , , , , ,neko nav izmantojusi, , 
145, , , , , , ,98, , 
147, , , , , , ,nekādas, , 
149, , , , , , ,nekādas neizmantoju, , 
151, , , , , , ,nekādas, , 
156, , , , , , ,ceļoja bez vīzas, , 
160, , , , , , ,pārvietošanās iespēja,nav jāmaina valūtu, 
161, , , , , , ,neko neizmantoju, , 
172, , , , , , ,98, , 
177, , , , , , ,98, , 
178, , , , , , ,98, , 
183, , , , , , ,Šengenas zona, , 
187, , , , , , ,iespēju bez vīzas aizbraukt uz ārzemēm, , 
189, , , , , , ,neko, , 
194, , , , , , ,nekādas, , 
197, , , , , , ,98, , 
200, , , , , , ,98, , 
202, , , , , , ,nekādas iespējas, , 
205, , , , , , ,98, , 
206, , , , , , ,braucu ekskursijā uz Ungāriju, , 
208, , , , , , ,98, , 
211, , , , , , ,ceļošana,iespēja iepirkties eiro, 
214, , , , , , ,98, , 
217, , , , , , ,"ceļojusi uz Spāniju, Franciju un citur", , 
221, , , , , , ,98, , 
222, , , , , , ,eiro ieviešana, , 
225, , , , , , ,nevienu, , 
226, , , , , , ,subsīdijas lauksaimniecībā,valūtu, 
236, , , , , , ,98, , 
237, , , , , , ,98, , 
246, , , , , , ,brīvi pārvietoties Eiropā, , 
247, , , , , , ,98, , 
249, , , , , , ,"viegla, ērta ceļošana ES",vienota valūta, 
251, , , , , , ,98, , 
252, , , , , , ,98, , 
256, , , , , , ,98, , 
260, , , , , , ,98, , 
263, , , , , , ,98, , 
265, , , , , , ,brīvi ceļoju, , 
266, , , , , , ,98, , 
268, , , , , , ,studēšana ārzemēs,ceļot brīvi varu, 
270, , , , , , ,98, , 
272, , , , , , ,98, , 
274, , , , , , ,98, , 
280, , , , , , ,98, , 
281, , , , , , ,98, , 
282, , , , , , ,98, , 
283, , , , , , ,vieglāk un izdevīgāk uzturēt sakarus ar draugiem Eiropā, , 
284, , , , , , ,strādāja ārzemēs, , 
287, , , , , , ,apmeklēja Vāciju, , 
288, , , , , , ,ceļojot pa Eiropu, , 
290, , , , , , ,98, , 
291, , , , , , ,98, , 
293, , , , , , ,98, , 
295, , , , , , ,nav izmantojis, , 
298, , , , , , ,98, , 
300, , , , , , ,98, , 
301, , , , , , ,98, , 
309, , , , , , ,98, , 
319, , , , , , ,eiro, , 
320, , , , , , ,esmu ceļojusi,mācījusies Erasmus apmaiņas programmā, 
330, , , , , , ,ceļošana bez pasu kontrolēm uz robežām,mācības ārzemēs apmaiņu programmās, 
331, , , , , , ,kopējo valūtu - eiro,ceļot,bērni strādā Vācijā
333, , , , , , ,98, , 
335, , , , , , ,98, , 
339, , , , , , ,98, , 
344, , , , , , ,neko, , 
351, , , , , , ,lētākas telefona sarunas ar ES valstīm, , 
355, , , , , , ,ceļošana, , 
370, , , , , , ,98, , 
377, , , , , , ,98, , 
379, , , , , , ,98, , 
381, , , , , , ,98, , 
383, , , , , , ,98, , 
385, , , , , , ,98, , 
386, , , , , , ,neko neesmu izmantojis, , 
393, , , , , , ,izglītības iegūšanā, , 
395, , , , , , ,98, , 
396, , , , , , ,ceļošanu brīvu, , 
409, , , , , , ,neko, , 
411, , , , , , ,ceļoju pa ES, , 
412, , , , , , ,98, , 
415, , , , , , ,"strādājot starptautiskā uzņēmumā, ir viegli komunicēt ES robežās, braukā komandējumos",arī ceļot bez vīzām, 
418, , , , , , ,neko, , 
419, , , , , , ,"var ceļot bez vīzas ES ietvaros, to izmantoju", , 
420, , , , , , ,ceļoju, , 
421, , , , , , ,strādāja ārzemēs, , 
425, , , , , , ,"neko nav izmantojusi, tikai ikdienā lieto Eiro, naudu", , 
426, , , , , , ,neko, , 
428, , , , , , ,98, , 
433, , , , , , ,neko, , 
434, , , , , , ,98, , 
437, , , , , , ,iespējas strādāt ārzemēs, , 
438, , , , , , ,platību maksājumi, , 
442, , , , , , ,98, , 
450, , , , , , ,nekādas, , 
451, , , , , , ,nekādas iespējas neizmantoju, , 
455, , , , , , ,98, , 
458, , , , , , ,98, , 
459, , , , , , ,nekādas, , 
461, , , , , , ,98, , 
462, , , , , , ,98, , 
464, , , , , , ,98, , 
465, , , , , , ,"būt ārzemēs, bez vīzas", , 
473, , , , , , ,neko, , 
481, , , , , , ,nekādus, , 
484, , , , , , ,Eiropas sniegta veselības apdrošināšana, , 
489, , , , , , ,nekādus neesmu izmantojusi, , 
490, , , , , , ,neesmu izmantojusi, , 
494, , , , , , ,Erasmus,Eiropas sociālā fonda stipendija, 
496, , , , , , ,98, , 
499, , , , , , ,lielākas privilēģijas ceļot, , 
503, , , , , , ,brīva ceļošana pa ES, , 
506, , , , , , ,98, , 
509, , , , , , ,izglītība pieaugušajiem, , 
510, , , , , , ,98, , 
531, , , , , , ,98, , 
535, , , , , , ,ceļošana, , 
537, , , , , , ,ES projekti,ceļoju pa ES valstīm, 
540, , , , , , ,98, , 
541, , , , , , ,bezrobežu ceļošanas zonu, , 
543, , , , , , ,98, , 
545, , , , , , ,98, , 
548, , , , , , ,98, , 
550, , , , , , ,98, , 
558, , , , , , ,bezdarbniekiem kursi, , 
559, , , , , , ,98, , 
562, , , , , , ,98, , 
564, , , , , , ,augstas cenas,hipotekārā kredīta maksājuma pieaugumu, 
570, , , , , , ,piedalījās Eiropas parlamenta velēšanās,"izmanto Eiropas valūtu, ceļo bez vīzas uz Eiropas savienības valstīm", 
578, , , , , , ,dzīvoju siltinātā ēkā,Erasmus apmaiņas programmas studentiem, 
580, , , , , , ,vakcīnas obligātās, , 
584, , , , , , ,apmācība mācību centrā (Eiropas naudas), , 
592, , , , , , ,98, , 
601, , , , , , ,īsti neko, , 
607, , , , , , ,ceļošana,eiro, 
608, , , , , , ,projekts Proti un dari noliku tiesības, , 
610, , , , , , ,atbalsts lauksaimniecībai, , 
611, , , , , , ,vienota valūta ES valstīs, , 
612, , , , , , ,es neizmantoju nevienu no iespējām, , 
613, , , , , , ,viegli pārvietojas pa ES valstīm bez vīzām, , 
614, , , , , , ,98, , 
615, , , , , , ,viegla ceļošana bez vīzas, , 
616, , , , , , ,98, , 
617, , , , , , ,brīvi var pārvietoties pa ES valstīm,nemainīt naudu, 
618, , , , , , ,98, , 
619, , , , , , ,"nav tādu, kuras es izmantoju", , 
622, , , , , , ,palīdzību zemniekiem, , 
624, , , , , , ,nekādu, , 
628, , , , , , ,nevienu, , 
630, , , , , , ,ceļošana pa Eiropu, , 
637, , , , , , ,"to pašu, ko katrs iedzīvotājs - naudu, brīvas robežas un valdības lielāku zādzību", , 
640, , , , , , ,"bezmaksas sakari, internets ar Eiropu","kaut kādi projekti bijuši, kur ir finansējums", 
641, , , , , , ,EVAK,"droši vien, ka visu neapzināti, kam ir bijis sakars ar Eiropas dotajiem līdzekļiem", 
642, , , , , , ,98, , 
646, , , , , , ,"labi daudz - mācības, arī infrastruktūru, algas labākas",iepirkties internetā no ES zonas veikaliem, 
648, , , , , , ,98, , 
649, , , , , , ,ceļot pa Eiropu, , 
650, , , , , , ,98, , 
652, , , , , , ,piedalījos Erasmus, , 
656, , , , , , ,valūtas izmantošana, , 
666, , , , , , ,98, , 
670, , , , , , ,98, , 
671, , , , , , ,98, , 
672, , , , , , ,nezinu, , 
677, , , , , , ,neko nav izmantojusi, , 
684, , , , , , ,nekādas, , 
686, , , , , , ,98, , 
687, , , , , , ,ceļošanu, , 
690, , , , , , ,98, , 
691, , , , , , ,nekādi, , 
696, , , , , , ,saņēmu pārtikas pakas no ES, , 
698, , , , , , ,saņēmu pārtikas pakas, , 
700, , , , , , ,98, , 
703, , , , , , ,98, , 
705, , , , , , ,elektrības atbalsta kompensācija, , 
711, , , , , , ,98, , 
713, , , , , , ,neko neesmu saņēmusi, , 
714, , , , , , ,izglītības atbalsta programmā, , 
720, , , , , , ,uzņēmējdarbības atbalstu, , 
723, , , , , , ,98, , 
729, , , , , , ,98, , 
730, , , , , , ,98, , 
732, , , , , , ,98, , 
734, , , , , , ,98, , 
740, , , , , , ,98, , 
745, , , , , , ,"neesmu pilsonis, nekādu iespēju nav bijis", , 
758, , , , , , ,98, , 
760, , , , , , ,neko neesmu izmantojusi, , 
770, , , , , , ,98, , 
773, , , , , , ,neko, , 
775, , , , , , ,98, , 
780, , , , , , ,98, , 
792, , , , , , ,98, , 
797, , , , , , ,98, , 
798, , , , , , ,98, , 
799, , , , , , ,98, , 
800, , , , , , ,98, , 
801, , , , , , ,98, , 
802, , , , , , ,98, , 
803, , , , , , ,98, , 
804, , , , , , ,98, , 
808, , , , , , ,labāk apmakstas darba iespējas, , 
812, , , , , , ,98, , 
817, , , , , , ,nekādas, , 
818, , , , , , ,saņemu subsīdijas par izmantojamo zemi, , 
821, , , , , , ,neizmantoju, , 
824, , , , , , ,98, , 
825, , , , , , ,es nesaņemu neko, , 
831, , , , , , ,98, , 
844, , , , , , ,98, , 
846, , , , , , ,"nekādas, neviens mums neko nepiedāvā", , 
849, , , , , , ,"braucu pa remontētiem ceļiem, pa Eiropas naudu remontētiem", , 
850, , , , , , ,98, , 
854, , , , , , ,maksāju ar eiro, , 
856, , , , , , ,mācījās kursos ar ERAF atbalstu, , 
861, , , , , , ,98, , 
867, , , , , , ,nekādas iespējas, , 
874, , , , , , ,neko neesmu izmantojis, , 
880, , , , , , ,98, , 
882, , , , , , ,medicīnas jomā, , 
890, , , , , , ,nekādas, , 
892, , , , , , ,nekas nav personīgi izmantots, , 
897, , , , , , ,98, , 
901, , , , , , ,apmācības, , 
902, , , , , , ,neko, , 
905, , , , , , ,bezmaksas pārtikas pakas, , 
906, , , , , , ,nav izmantotas, , 
908, , , , , , ,98, , 
909, , , , , , ,neizmantoju, , 
911, , , , , , ,98, , 
914, , , , , , ,maznodrošināto pakas,ceļoju, 
917, , , , , , ,neko, , 
923, , , , , , ,nekādas, , 
927, , , , , , ,nekādas, , 
929, , , , , , ,"iespēja strādāt Eiropā (Vācijā), jo Latvijā darba nav", , 
930, , , , , , ,profesionālie kursi,iespēja strādāt Vācijā, 
931, , , , , , ,98, , 
934, , , , , , ,Eiroprojekti lauksaimniekiem, , 
936, , , , , , ,kursi (datorprasmes un profesionālie), , 
937, , , , , , ,pabalsti, , 
939, , , , , , ,ceļošana,darbs, 
943, , , , , , ,ceļojumi uz dažādām Eiropas valstīm, , 
944, , , , , , ,98, , 
945, , , , , , ,projektu apgūšana, , 
950, , , , , , ,neesmu neko, , 
953, , , , , , ,Eiropas Savienības struktūrfonda finansējums, , 
954, , , , , , ,ceļošana, , 
955, , , , , , ,braucu uz ārzemēm,mobilie sakari, 
956, , , , , , ,lauksaimniecības dotāciju, , 
957, , , , , , ,nekādas, , 
958, , , , , , ,brīvi ceļoju,"varu sazvanīties, ir nedaudz lētāk", 
962, , , , , , ,98, , 
963, , , , , , ,ceļoju,darbā bija fondu finansējums,bērni bija nometnē par Eiropas naudu
966, , , , , , ,ceļoju,izmantoju EVAK karti, 
970, , , , , , ,98, , 
978, , , , , , ,98, , 
986, , , , , , ,98, , 
988, , , , , , ,ceļošana, , 
989, , , , , , ,98, , 
990, , , , , , ,mājas renovācija, , 
995, , , , , , ,mūžizglītības iespējas, , 
998, , , , , , ,neko, , 
999, , , , , , ,"pabalsti, produktu pakas", , 
1012, , , , , , ,98, , 
1017, , , , , , ,98, , 
1018, , , , , , ,neko, , 
158, , , , , , ,98, , 
159, , , , , , ,ceļoja bez vīzas, , 
163, , , , , , ,neesmu izmantojusi, , 
184, , , , , , ,bezmaksas izglītību (vidējo + augstāko),ārstniecību, 
195, , , , , , ,nevienu iespēju, , 
198, , , , , , ,nekādus, , 
199, , , , , , ,98, , 
203, , , , , , ,98, , 
204, , , , , , ,lietoju eiro, , 
261, , , , , , ,98, , 
264, , , , , , ,neko, , 
267, , , , , , ,98, , 
269, , , , , , ,"studijas, mācības Erasmus programmā", , 
271, , , , , , ,98, , 
273, , , , , , ,98, , 
275, , , , , , ,darbs ES, , 
277, , , , , , ,98, , 
304, , , , , , ,98, , 
321, , , , , , ,ceļojumi bez robežpārbaudēm, , 
326, , , , , , ,vienota nauda,"iespējas mācīties, ceļot, strādāt ES", 
329, , , , , , ,98, , 
343, , , , , , ,98, , 
346, , , , , , ,bezvīzu režīms, , 
364, , , , , , ,98, , 
380, , , , , , ,98, , 
432, , , , , , ,98, , 
439, , , , , , ,98, , 
466, , , , , , ,neko, , 
504, , , , , , ,98, , 
507, , , , , , ,98, , 
524, , , , , , ,platību maksājumi, , 
533, , , , , , ,98, , 
549, , , , , , ,98, , 
585, , , , , , ,98, , 
595, , , , , , ,98, , 
620, , , , , , ,98, , 
631, , , , , , ,98, , 
633, , , , , , ,zvanīšana uz citām ES valstīm, , 
634, , , , , , ,98, , 
635, , , , , , ,98, , 
644, , , , , , ,"darbā ir dažādi finansējumi, esmu ceļojis, zvanu radiem","biju apmaiņas programmā, kad mācījos, tieši par ES naudu", 
712, , , , , , ,uzņēmējdarbības atbalstu, , 
716, , , , , , ,98, , 
722, , , , , , ,98, , 
731, , , , , , ,98, , 
819, , , , , , ,neko neizmantoju, , 
823, , , , , , ,neesmu izmantojusi, , 
826, , , , , , ,saņēmu bezdarbnieku pabalstu un pakas, , 
833, , , , , , ,salaboti ceļi,izremontētas ēkas, 
852, , , , , , ,"tarifi telefonam Eiropā, izmantoju", , 
877, , , , , , ,98, , 
881, , , , , , ,neko neizmanto, , 
912, , , , , , ,98, , 
946, , , , , , ,98, , 
